Автор;Название;Год;Текст
О. Генри;Последний лист;1907;В небольшом квартале к западу от Вашингтон-сквера улицы перепутались и переломались в короткие полоски, именуемые проездами. Эти проезды образуют странные углы и кривые линии. Одна улица там даже пересекает самое себя раза два. Некоему художнику удалось открыть весьма ценное свойство этой улицы. Предположим, сборщик из магазина со счетом за краски, бумагу и холст повстречает там самого себя, идущего восвояси, не получив ни единого цента по счету! И вот люди искусства набрели на своеобразный квартал Гринич-Виллидж в поисках окон, выходящих на север, кровель ХVIII столетия, голландских мансард и дешевой квартирной платы. Затем они перевезли туда с Шестой авеню несколько оловянных кружек и одну-две жаровни и основали «колонию». Студия Сью и Джонси помещалась наверху трехэтажного кирпичного дома. Джонси — уменьшительное от Джоанны. Одна приехала из штата Мэйн, другая из Калифорнии. Они познакомились за табльдотом одного ресторанчика на Вольмой улице и нашли, что их взгляды на искусство, цикорный салат и модные рукава вполне совпадают. В результате и возникла общая студия. Это было в мае. В ноябре неприветливый чужак, которого доктора именуют Пневмонией, незримо разгуливал по колонии, касаясь то одного, то другого своими ледяными пальцами. По Восточной стороне этот душегуб шагал смело, поражая десятки жертв, но здесь, в лабиринте узких, поросших мохом переулков, он плелся нога за ногу. Господина Пневмонию никак нельзя было назвать галантным старым джентльменом. Миниатюрная девушка, малокровная от калифорнийских зефиров, едва ли могла считаться достойным противником для дюжего старого тупицы с красными кулачищами и одышкой. Однако он свалил ее с ног, и Джонси лежала неподвижно на крашеной железной кровати, глядя сквозь мелкий переплет голландского окна на глухую стену соседнего кирпичного дома. Однажды утром озабоченный доктор одним движением косматых седых бровей вызвал Сью в коридор. — У нее один шанс… ну, скажем, против десяти, — сказал он, стряхивая ртуть в термометре. — И то, если она сама захочет жить. Вся наша фармакопея теряет смысл, когда люди начинают действовать в интересах гробовщика. Ваша маленькая барышня решила, что ей уже не поправиться. О чем она думает? — Ей… ей хотелось написать красками Неаполитанский залив. — Красками? Чепуха! Нет ли у нее на душе чего-нибудь такого, о чем действительно стоило бы думать, например, мужчины? — Мужчины? — переспросила Сью, и ее голос зазвучал резко, как губная гармоника. — Неужели мужчина стоит… Да нет, доктор, ничего подобного нет. — Ну, тогда она просто ослабла, — решил доктор. — Я сделаю все, что буду в силах сделать как представитель науки. Но когда мой пациент начинает считать кареты в своей похоронной процессии, я скидываю пятьдесят процентов с целебной силы лекарств. Если вы сумеете добиться, чтобы она хоть раз спросила, какого фасона рукава будут носить этой зимой, я вам ручаюсь, что у нее будет один шанс из пяти, вместо одного из десяти. После того как доктор ушел, Сью выбежала в мастерскую и плакала в японскую бумажную салфеточку до тех пор, пока та не размокла окончательно. Потом она храбро вошла в комнату Джонси с чертежной доской, насвистывая рэгтайм. Джонси лежала, повернувшись лицом к окну, едва заметная под одеялами. Сью перестала насвистывать, думая, что Джонси уснула. Она пристроила доску и начала рисунок тушью к журнальному рассказу. Для молодых художников путь в Искусство бывает вымощен иллюстрациями к журнальным рассказам, которыми молодые авторы мостят себе путь в Литературу. Набрасывая для рассказа фигуру ковбоя из Айдахо в элегантных бриджах и с моноклем в глазу, Сью услышала тихий шепот, повторившийся несколько раз. Она торопливо подошла к кровати. Глаза Джонси были широко открыты. Она смотрела в окно и считала — считала в обратном порядке. — Двенадцать, — произнесла она, и немного погодя: — одиннадцать, — а потом: — «десять» и «девять», а потом: — «восемь» и «семь» — почти одновременно. Сью посмотрела в окно. Что там было считать? Был виден только пустой, унылый двор и глухая стена кирпичного дома в двадцати шагах. Старый-старый плющ с узловатым, подгнившим у корней стволом заплел до половины кирпичную стену. Холодное дыхание осени сорвало листья с лозы, и оголенные скелеты ветвей цеплялись за осыпающиеся кирпичи. — Что там такое, милая? — спросила Сью. — Шесть, — едва слышно ответила Джонси. — Теперь они облетают гораздо быстрее. Три дня назад их было почти сто. Голова кружилась считать. А теперь это легко. Вот и еще один полетел. Теперь осталось только пять. — Чего пять, милая? Скажи своей Сьюди. — Листьев. На плюще. Когда упадет последний лист, я умру. Я это знаю уже три дня. Разве доктор не сказал тебе? — Первый раз слышу такую глупость! — с великолепным презрением отпарировала Сью. — Какое отношение могут иметь листья на старом плюще к тому, что ты поправишься? А ты еще так любила этот плющ, гадкая девочка! Не будь глупышкой. Да ведь еще сегодня доктор говорил мне, что ты скоро выздоровеешь… позволь, как же это он сказал?.. что у тебя десять шансов против одного. А ведь это не меньше, чем у каждого из нас здесь в Нью-Йорке, когда едешь в трамвае или идешь мимо нового дома. Попробуй съесть немножко бульона и дай твоей Сьюди закончить рисунок, чтобы она могла сбыть его редактору и купить вина для своей больной девочки и свиных котлет для себя. — Вина тебе покупать больше не надо, — отвечала Джонси, пристально глядя в окно. — Вот и еще один полетел. Нет, бульона я не хочу. Значит, остается всего четыре. Я хочу видеть, как упадет последний лист. Тогда умру и я. — Джонси, милая, — сказала Сью, наклоняясь над ней, — обещаешь ты мне не открывать глаз и не глядеть в окно, пока я не кончу работать? Я должна сдать иллюстрацию завтра. Мне нужен свет, а то я спустила бы штору. — Разве ты не можешь рисовать в другой комнате? — холодно спросила Джонси. — Мне бы хотелось посидеть с тобой, — сказала Сью. — А кроме того, я не желаю, чтобы ты глядела на эти дурацкие листья. — Скажи мне, когда кончишь, — закрывая глаза, произнесла Джонси, бледная и неподвижная, как поверженная статуя, — потому что мне хочется видеть, как упадет последний лист. Я устала ждать. Я устала думать. Мне хочется освободиться от всего, что меня держит, — лететь, лететь все ниже и ниже, как один из этих бедных, усталых листьев. — Постарайся уснуть, — сказала Сью. — Мне надо позвать Бермана, я хочу писать с него золотоискателя-отшельника. Я самое большее на минутку. Смотри же, не шевелись, пока я не приду. Старик Берман был художник, который жил в нижнем этаже под их студией. Ему было уже за шестьдесят, и борода, вся в завитках, как у Моисея Микеланджело, спускалась у него с головы сатира на тело гнома. В искусстве Берман был неудачником. Он все собирался написать шедевр, но даже и не начал его. Уже несколько лет он не писал ничего, кроме вывесок, реклам и тому подобной мазни ради куска хлеба. Он зарабатывал кое-что, позируя молодым художникам, которым профессионалы-натурщики оказывались не по карману. Он пил запоем, но все еще говорил о своем будущем шедевре. А в остальном это был злющий старикашка, который издевался над всякой сентиментальностью и смотрел на себя, как на сторожевого пса, специально приставленного для охраны двух молодых художниц. Сью застала Бермана, сильно пахнущего можжевеловыми ягодами, в его полутемной каморке нижнего этажа. В одном углу двадцать пять лет стояло на мольберте нетронутое полотно, готовое принять первые штрихи шедевра. Сью рассказала старику про фантазию Джонси и про свои опасения насчет того, как бы она, легкая и хрупкая, как лист, не улетела от них, когда ослабнет ее непрочная связь с миром. Старик Берман, чьи красные глаза очень заметно слезились, раскричался, насмехаясь над такими идиотскими фантазиями. — Что! — кричал он. — Возможна ли такая глупость — умирать оттого, что листья падают с проклятого плюща! Первый раз слышу. Нет, не желаю позировать для вашего идиота-отшельника. Как вы позволяете ей забивать голову такой чепухой? Ах, бедная маленькая мисс Джонси! — Она очень больна и слаба, — сказала Сью, — и от лихорадки ей приходят в голову разные болезненные фантазии. Очень хорошо, мистер Берман, — если вы не хотите мне позировать, то и не надо. А я все-таки думаю, что вы противный старик… противный старый болтунишка. — Вот настоящая женщина! — закричал Берман. — Кто сказал, что я не хочу позировать? Идем. Я иду с вами. Полчаса я говорю, что хочу позировать. Боже мой! Здесь совсем не место болеть такой хорошей девушке, как мисс Джонси. Когда-нибудь я напишу шедевр, и мы все уедем отсюда. Да, да! Джонси дремала, когда они поднялись наверх. Сью спустила штору до самого подоконника и сделала Берману знак пройти в другую комнату. Там они подошли к окну и со страхом посмотрели на старый плющ. Потом переглянулись, не говоря ни слова. Шел холодный, упорный дождь пополам со снегом. Берман в старой синей рубашке уселся в позе золотоискателя-отшельника на перевернутый чайник вместо скалы. На другое утро Сью, проснувшись после короткого сна, увидела, что Джонси не сводит тусклых, широко раскрытых глаз со спущенной зеленой шторы. — Подними ее, я хочу посмотреть, — шепотом скомандовала Джонси. Сью устало повиновалась. И что же? После проливного дождя и резких порывов ветра, не унимавшихся всю ночь, на кирпичной стене еще виднелся один лист плюща — последний! Все еще темнозеленый у стебелька, но тронутый по зубчатым краям желтизной тления и распада, он храбро держался на ветке в двадцати футах над землей. — Это последний, — сказала Джонси. — Я думала, что он непременно упадет ночью. Я слышала ветер. Он упадет сегодня, тогда умру и я. — Да бог с тобой! — сказала Сью, склоняясь усталой головой к подушке. — Подумай хоть обо мне, если не хочешь думать о себе! Что будет со мной? Но Джонси не отвечала. Душа, готовясь отправиться в таинственный, далекий путь, становится чуждой всему на свете. Болезненная фантазия завладевала Джонси все сильнее, по мере того как одна за другой рвались все нити, связывавшие ее с жизнью и людьми. День прошел, и даже в сумерки они видели, что одинокий лист плюща держится на своем стебельке на фоне кирпичной стены. А потом, с наступлением темноты, опять поднялся северный ветер, и дождь беспрерывно стучал в окна, скатываясь с низкой голландской кровли. Как только рассвело, беспощадная Джонси велела снова поднять штору. Лист плюща все еще оставался на месте. Джонси долго лежала, глядя на него. Потом позвала Сью, которая разогревала для нее куриный бульон на газовой горелке. — Я была скверной девчонкой, Сьюди, — сказала Джонси. — Должно быть, этот последний лист остался на ветке для того, чтобы показать мне, какая я была гадкая. Грешно желать себе смерти. Теперь ты можешь дать мне немного бульона, а потом молока с портвейном… Хотя нет: принеси мне сначала зеркальце, а потом обложи меня подушками, и я буду сидеть и смотреть, как ты стряпаешь. Часом позже она сказала: — Сьюди, надеюсь когда-нибудь написать красками Неаполитанский залив. Днем пришел доктор, и Сью под каким-то предлогом вышла за ним в прихожую. — Шансы равные, — сказал доктор, пожимая худенькую, дрожащую руку Сью. — При хорошем уходе вы одержите победу. А теперь я должен навестить еще одного больного, внизу. Его фамилия Берман. Кажется, он художник. Тоже воспаление легких. Он уже старик и очень слаб, а форма болезни тяжелая. Надежды нет никакой, но сегодня его отправят в больницу, там ему будет покойнее. На другой день доктор сказал Сью: — Она вне опасности. Вы победили. Теперь питание и уход — и больше ничего не нужно. В тот же вечер Сью подошла к кровати, где лежала Джонси, с удовольствием довязывая ярко-синий, совершенно бесполезный шарф, и обняла ее одной рукой — вместе с подушкой. — Мне надо кое-что сказать тебе, белая мышка, — начала она. — Мистер Берман умер сегодня в больнице от воспаления легких. Он болел всего только два дня. Утром первого дня швейцар нашел бедного старика на полу в его комнате. Он был без сознания. Башмаки и вся его одежда промокли насквозь и были холодны, как лед. Никто не мог понять, куда он выходил в такую ужасную ночь. Потом нашли фонарь, который все еще горел, лестницу, сдвинутую с места, несколько брошенных кистей и палитру с желтой и зеленой красками. Посмотри в окно, дорогая, на последний лист плюща. Тебя не удивляло, что он не дрожит и не шевелится от ветра? Да, милая, это и есть шедевр Бермана — он написал его в ту ночь, когда слетел последний лист.
О. Генри;Сон;1912;"Мюррею приснился сон. Психологи и ученые теряются в догадках и предположениях, стараясь объяснить странные переживания нашего нематериального «я», когда мы бродим в царстве «близнеца смерти» — в царстве сна. Настоящий рассказ не имеет целью бросить свет на этот не исследованный еще вопрос. Он является просто описанием сна Мюррея. Одна из самых поразительных особенностей снов состоит в том, что происходящее во сне на протяжении нескольких месяцев или даже годов на самом деле происходит в течение нескольких секунд или минут. Мюррей сидел в тюремной камере в отделении для приговоренных к смерти. Электрическая дуговая лампа, висевшая на потолке в коридоре, ярко освещала его стол. По листу белой бумаги полз муравей, дико бросавшийся из стороны в сторону в то время, как Мюррей преграждал ему путь конвертом. Приведение в исполнение смертного приговора посредством электричества было назначено на восемь часов вечера. Мюррей, улыбаясь, смотрел на обезумевшего муравья, мудрейшего из насекомых. В отделении было еще семеро приговоренных к смерти. С тех пор как Мюррей находился здесь, он видел, как троих увели для приведения в исполнение приговора. Один обезумел и бился, как пойманный в западню волк; другой, не менее безумный, громко молился; третий, слабый духом, упал в обморок, и его унесли, привязав к доске. Мюррей размышлял, как он сам встретит внешне и внутренне момент казни. Сегодня вечером пришел его срок. Должно быть, теперь было около восьми часов. В отделении было два ряда камер, и напротив него была камера Бонифацио, итальянца, убившего свою невесту и двух полицейских, пришедших его арестовать. Мюррей долгие часы играл с ним в шашки, выкликая ходы своему невидимому партнеру через коридор. Послышался громкий басистый голос Бонифацио с его всегдашним певучим акцентом. — Эй, маэстро Мюррей! Как вы себя чувствуете, — хорошо, да? — Хорошо, Бонифацио, — сказал твердо Мюррей, позволяя муравью вползти на конверт и осторожно сбрасывая его на каменный пол. — Так и следует, маэстро Мюррей. Такие, как мы, должны умирать как мужчины. Мой срок на будущей неделе. Отлично. Помните, маэстро Мюррей, я выиграл у вас последнюю партию в шашки. Может быть, мы когда-нибудь опять будем играть с вами. Я не знаю. Может быть, нам прядется чертовски громко выкликать ходы в том месте, куда нас отправят. Грубая философия Бонифацио, за которой последовал басистый взрыв музыкального смеха, согрел закоченевшее сердце Мюррея. Да, но Бонифацио оставалось жить еще целую неделю. Обитатели камер услышали знакомое громкое щелканье стальных затворов в то время, как открывалась дверь в конце коридора. Трое людей подошли к камере Мюррея и отперли ее. Двое из них были тюремные сторожа; третий был Леон, сосед и друг детства Мюррея. Нет, это было в прежние дни — теперь это был преподобный Леонард Уистон. — Я добился разрешения занять место тюремного священника, — сказал он, крепко пожимая руку Мюррея. В левой руке он держал небольшую Библию, отмечая указательным пальцем нужную страницу. Мюррей слегка улыбнулся и начал приводить в порядок две-три книги и несколько ручек на своем столике. Он охотно заговорил бы, но никакие подходящие слова не шли ему на ум. Заключенные окрестили эту часть тюрьмы, в восемьдесят футов длиной и двадцать восемь футов шириной, «Преддверием ада». Постоянный сторож «Преддверия ада», огромный, неотесанный добрый человек, вытащил из кармана бутылку виски и протянул ее Мюррею со словами: — Это самое, понимаешь, настоящее дело для тех, кому нужно подкрепиться. И, понимаешь, тебе нечего бояться, что ты приохотишься к виски. Мюррей хлебнул из бутылки. — Вот так, — сказал сторож. — Немного укрепляющего средства, и все пойдет как по маслу. Они вышли в коридор, и каждый из семи обреченных понял, что было около восьми часов и что в восемь была назначена казнь Мюррея. В «Преддверии ада» существует своя аристократия. Человек, убивший своего врага или преследователя в открытом бою, в пылу битвы или обуреваемый первобытными чувствами, с презрением относится к подлым убийцам из-за угла. Таким образом, только трое из семи обреченных крикнули последнее «прости» Мюррею, в то время как он шагал по коридору между двумя стражниками. Это были Бонифацио, Марвин, убивший тюремщика во время попытки бегства из тюрьмы, и Бассет, железнодорожный грабитель, который был принужден убить проводника экспресса, не пожелавшего поднять руки вверх. Остальные четверо молча притаились в своих камерах, чувствуя себя отщепенцами в обществе «Преддверия ада». Мюррей удивлялся своему собственному спокойствию и почти безразличию. В комнате казни собралось около двадцати людей — тюремное начальство, газетные репортеры и зрители, которым удалось… Здесь, на самой середине фразы, рука смерти прервала последний рассказ О. Генри. Он предполагал написать этот рассказ совершенно в другом духе, как его предыдущие рассказы. Это должно было стать началом новой серии. — Я хотел показать публике, — говорил Генри, — что я могу написать нечто новое — то есть новое для меня — историю с настоящей драматической завязкой, трактованную в таком духе, который ближе подойдет к моим взглядам на писательство. До того как начать писать настоящий рассказ, он вкратце набросал, как он предполагал развить его. Мюррей, виновный в зверском убийстве своей возлюбленной, — убийстве, вызванном припадком безумной ревности — встречает сперва смертную казнь совершенно спокойно и, по всем внешним признакам, даже безразлично. Когда он приближается к электрическому стулу, им овладевает странное чувство нереальности. Вся сцена в комнате казни — свидетели, зрители, приготовления к казни — кажется ему нереальной. В его уме мелькает мысль, что произошла страшная ошибка. Почему его привязывают к стулу? Что он сделал? Какое преступление он совершил? В те несколько мгновений, когда прикрепляли ремни на стуле, перед его умственным взором встает видение. Ему снится сон. Он видит маленький деревенский коттедж, светлый, залитый солнцем, спрятавшийся под сень цветов. Он видит женщину и ребенка. Он говорит с ними и узнает, что это его жена и его ребенок, а коттедж — его дом. Таким образом, в конце концов, все это была ошибка. Кто-то страшно, непоправимо ошибся. Обвинение, суд, приговор к смерти на электрическом стуле — все это сон. Он обнимает жену и целует ребенка. Да, здесь счастье. А то был сон. Но тут, по знаку тюремного сторожа, пускается роковой ток. И то, что Мюррей принял за сон, — оказалось действительностью."
О. Генри;Рождественский подарок;1903;"Лет двадцать развивался корень зла. К концу этого срока он был уже вполне на высоте положения. Если бы вы жили где-нибудь в окружности ранчо Сэндаун, хотя бы на расстоянии пятидесяти миль от него, вы не могли бы не слышать о нем. Корень зла этот обладал густыми, черными как смоль волосами, необыкновенно искренними темно-карими глазами, а смех его разносился по прерии, точно журчанье где-то скрытого ручейка. Имя ему было Розита Мак-Меллэн, и это была дочь старого Мак-Меллэна, с овечьего ранчо Сэндаун. Однажды в Сэндаун прибыли верхом на двух золотисто-рыжих конях — или, выражаясь точнее, на облезлых гнедых, — два претендента на руку Розиты. Один из них был Мэдисон Лэн, а другой «Малыш из Фрио». Но в это время его еще не звали «Малышом из Фрио»: он еще не успел тогда заслужить честь особой клички. Имя его было попросту Джонни Мак-Рой. Не подумайте, пожалуйста, что эти двое являлись единственными обожателями прекрасной Розиты. Кони дюжины других грызли удила, стоя у длинной коновязи ранчо Сэндаун. Много глаз в окрестных саваннах выпучивались по-бараньи при виде Розиты, но не всегда эти глаза принадлежали баранам Дана Мак-Меллэна. Но Мэдисон Лэн и Джонни Мак-Рой далеко обогнали остальных участников этого гандикапа, а потому мы и заносим их имена в летопись. Мэдисон Лэн, молодой скотовод из округа Нуэсес, остался победителем. Он и Розита были обвенчаны в день Рождества. Вооруженные, веселые, шумливые, ковбои и овчары, великодушно отложив в сторону свою наследственную ненависть, соединились вместе, чтобы общими силами отпраздновать торжество. На ранчо Сэндаун стон стоял от залпов — шуток и из револьверов, от блеска — уздечек и сверкающих глаз, от поздравлений и приветствий. Но, когда свадебное торжество достигло крайнего предела веселья, вдруг появился Джонни Мак-Рой, мрачный, терзаемый ревностью, похожий на одержимого. — Я вам сейчас поднесу рождественский подарок, — завопил он громовым голосом и встал у дверей, держа в руках револьвер сорок пятого калибра. Уже в те времена он имел репутацию необычайно меткого стрелка. Первая его пуля срезала мочку правого уха у Мэдисона Лэна. Дуло револьвера отклонилось на один дюйм. Следующий выстрел поразил бы новобрачную, если бы у овчара Карсона винтики в голове не оказались бы хорошо смазанными и не работали бы так быстро. Садясь за стол, гости, соблюдая хороший тон, повесили свои револьверы, вместе с поясами, на гвозди, вбитые в стену. Но Карсон с необычайной быстротой швырнул в Мак-Роя свою тарелку, полную жареной дичи и картошки, и испортил ему прицел. Вторая пуля сбила только белые лепестки с цветка — «испанского кинжала», торчавшего фута на два над головой у Розиты. Гости отпихнули стулья и бросились к оружию. Стрелять в жениха и невесту во время свадьбы показалось им поступком крайне бестактным. Через шесть секунд около двадцати пуль должны были просвистеть по направлению к Мак-Рою. — В следующий раз я буду лучше стрелять, — прокричал Джонни, — и этот следующий раз настанет. И он быстро скрылся. Карсон, овчар, движимый после успешного опыта с брошенной тарелкой жаждой новых подвигов, первый добежал до дверей. Из темноты пуля Мак-Роя уложила его. Тогда ковбои бросились за ним, взывая к мщению; вообще, убийство овчара не всегда вызывало возмущение с их стороны, но в данном случае оно определенно шло вразрез с правилами приличия. Карсон не был виноват ни в чем; он не принимал никакого участия в обряде бракосочетания; и никто даже не слыхал, чтобы он декламировал гостям рождественские гимны. Но вылазка не удалась. Мак-Рой был уже в седле и несся вскачь, в спасительный чапарраль, осыпая своих преследователей громкими проклятиями и угрозами. В эту-то ночь и родился «Малыш из Фрио». Он стал «вредным элементом» этих краев. Отвергнутый мисс Мак-Меллэн, он сделался опасным. Когда полицейские явились арестовать его за убийство Карсона, он убил двоих из них и затем стал вести жизнь отщепенца. Он научился удивительно хорошо стрелять обеими руками. Иногда он появлялся в городках и поселках, затевал ссоры по малейшему поводу, укладывал своего противника и смеялся над блюстителями закона. Он был так хладнокровен, так беспощаден, так проворен, так бесчеловечно кровожаден, что к поимке его делались лишь слабые попытки. Когда он был, наконец, застрелен маленьким, одноруким мексиканцем, который сам еле жив был от страха, на душе Малыша из Фрио было уже восемнадцать убийств. Около половины жертв он уложил в честном поединке, где исход зависел от быстроты выстрела. Другую половину он умертвил просто из жестокости, ради одного удовольствия. Много существует на границе рассказов о его дерзкой храбрости и отваге. Но он не был из породы тех головорезов, у которых все-таки бывают минуты великодушия и даже кротости. Уверяют, что он никогда не знал чувства милосердия к лицам, вызвавшим его гнев. Однако в этот и в каждый день Рождества как-то хочется отдать, по возможности, каждому должное за всякую искру добра, которая могла бы в нем оказаться. Если Малыш из Фрио совершил когда-нибудь доброе дело, если в сердце его шевельнулось когда-нибудь великодушное чувство, это случилось именно в этот день. Вот каким образом это произошло. Человеку, потерпевшему неудачу в любви, никогда не следует вдыхать аромат цветов ратамы. Они опасно возбуждают память. Однажды в декабре в округе Фрио одно дерево ратамы стояло в полном цвету: зима была теплая, точно весна. Мимо этого дерева ехал Малыш из Фрио со своим клевретом и товарищем по убийствам Фрэнком-Мексиканцем. Малыш остановил своего мустанга, но остался в седле, задумчивый и нахмуренный, зловеще прищурив глаза. Слабый, сладкий аромат затронул какие-то фибры в нем, проникнув сквозь сковывавшую его броню из льда и железа. — Не понимаю, о чем это я думаю, Мекс, — сказал он своим обычным мягким и певучим голосом. — Как это я мог забыть про один рождественский подарок? Завтра ночью я поеду и застрелю Мэдисона Лэна в его собственном доме. Он отбил у меня мою девушку. Розита вышла бы за меня, не встань он между нами. Сам не понимаю, как я это откладывал до сих пор. — А, ерунда, Малыш! — сказал Мексиканец. — Не говори вздора. Ты знаешь, что завтра нельзя будет и на милю подъехать к дому Мэда Лэна. Я видел третьего дня старика Аллена и он сказал мне, что у Мэда на Рождестве будут гости. Помнишь, как ты испортил торжество в день свадьбы Мэда, и какие ты посылал угрозы? Неужели ты думаешь, что Мэд Лэн не держит теперь ухо востро в предположении, что некто мистер Малыш может незванно появиться среди гостей? Тошно слушать, Малыш, такие речи. — Я поеду, — спокойно повторил Малыш, — на праздник к Мэдисону Лэну и убью его. Мне давно надо было сделать это. Знаешь, Мекс, ровно две недели назад я видел во сне, что я женат на Розите, а не он; и мы жили вместе в доме, и я видел, как она мне улыбается… и — проклятье, Мекс! — она досталась ему! но зато он будет моим, — да, сударь, она стала его в канун Рождества, и в этот же день он будет моим. — Есть ведь и другие способы самоубийства, — посоветовал Мексиканец. — Почему бы тебе просто не отдаться в руки шерифу? — Он будет моим, — сказал Малыш. Канун Рождества наступил; воздух был мягок, точно в апреле. Быть может, был отдаленный намек на мороз, но он только пощипывал, как сельтерская вода, и в воздухе носился легкий запах поздних полевых цветов и мескитной травы. Вечером все пять или шесть комнат ранчо ярко осветились. В одной из комнат горела елка: у Лэнов был трехлетний сынишка и ожидалось человек двенадцать или более гостей с ближайших ранчо. Когда стемнело, Мэдисон Лэн отозвал в сторону Джима Бэлчэра и еще троих ковбоев, служивших у него на ранчо. — Слушайте, ребята, — сказал Лэн, — держите ухо востро. Ходите вокруг дома и наблюдайте зорко за дорогой. Все вы знаете Малыша из Фрио, как его теперь зовут; если вы его увидите, откройте по нему огонь без всяких предисловий. Я не очень-то боюсь, что он явится сюда, но Розите страшно. Она боится этого каждое Рождество, с тех пор как мы женаты. Вскоре приехали гости, в таратайках и верхами, и начали располагаться в комнатах. Вечер проходил весело. Гости с удовольствием ели отличный ужин, приготовленный Розитой, и похваливали хозяйку, а затем разбрелись группами по комнатам и по широкой галерее, куря и болтая. Елка, разумеется, привела в восторг малышей; в особенности они обрадовались, когда появился рождественский дед, с великолепной белой бородой, одетый в белый мех, и начал раздавать игрушки. — Это мой папа, — объявил шестилетний Билли Сэмпсон, — я видел, как он одевался. Беркли, овчар, старый приятель Лэна, остановил Розиту, когда она шла мимо него по галерее, где он сидел и курил. — Ну, что же, миссис Лэн, — сказал он, — вы, надеюсь, перестали теперь каждое Рождество бояться этого парня, Мак-Роя, не правда ли? Мы как раз толковали об этом с Мэдисоном. — Почти, — улыбаясь, ответила Розита, — но я все-таки иногда нервничаю. Никогда не забуду я этого ужаса, когда он чуть не убил нас. — Это самый безжалостный негодяй в мире, — сказал Беркли. — Всем жителям округа следовало бы подняться и устроить на него облаву, как на волка. — Он совершил ужасные преступления, — сказала Розита, — но… я… не знаю. Я думаю, что в каждом человеке где-то в глубине души таится крупица добра. Он не всегда был злодеем — я это знаю. Розита вышла в коридор между комнатами. Рождественский дед, в бороде и мехах, как раз проходил мимо. — Я слышал в окно, что вы говорили, миссис Лэн, — сказал он. — В тот момент я только что опустил руку в карман, чтобы вынуть рождественский подарок вашему мужу. Но вместо этого я оставил вам подарок Он там, в комнате направо. — Спасибо, милый дедушка, — весело сказала Розита. Она вошла в комнату, а рождественский дед вышел на свежий воздух. В комнате направо она нашла одного Мэдисона. — Где же мой подарок? Дед сказал, что оставил его здесь для меня, — сказала Розита. — Я не видел ничего похожего на подарок, — смеясь, сказал ей муж, — разве только, что он меня назвал подарком? На следующий день Габриэль Родд, старший на ранчо Хо, вошел в почтовую контору в Лома-Альта. — Ну, вот, Малыш из Фрио получил наконец свою порцию свинца, — сказал он почтмейстеру. — Да неужели? Каким образом? — Отличился один из мексиканцев-овчаров старого Санхеса. Подумайте только: Малыш из Фрио убит овчаром! Пастух увидел около полуночи, что он едет мимо лагеря, и так перепугался, что схватил свой винчестер и выпустил заряд. Но всего забавнее то, что Малыш оказался наряженным в полное одеяние рождественского деда, с ног до головы. Подумайте только, Малыш из Фрио вздумал разыгрывать Санта-Клауса."
